transaction_id;customer_id;transact_date;revenue;discount_amount
325414;182166;2024-01-22;171;78
572140;271450;2019-09-23;212;37
4828228;209802;2019-06-12;539;17
7460926;194086;2021-03-30;171;82
4062707;1384612;2021-01-31;126;14
4797611;370812;2020-10-23;237;162
8624293;1263742;2020-12-17;87;14
9691594;2788066;2023-08-07;30;26
4233981;130374;2023-07-14;106;17
501490;1163172;2021-07-05;38;45
5550707;370812;2023-05-23;552;51
1924127;18120;2022-09-28;179;16
1745830;205502;2024-06-26;115;27
9753025;1053542;2023-10-12;42;81
9778530;834732;2020-07-10;497;15
5601565;330522;2021-04-22;495;40
5963086;223262;2022-09-06;286;44
9492121;223262;2021-11-29;245;111
5019448;138862;2023-12-19;121;53
2315679;2862251;2024-06-04;134;15
3340538;2565132;2024-06-03;86;19
5327178;2752874;2023-01-24;21;102
7229730;370812;2021-10-12;561;122
3463015;337784;2019-04-24;421;42
5884909;322435;2019-07-29;222;32
7348338;327217;2019-01-17;407;31
3668883;328918;2019-01-29;94;27
1549603;223262;2023-02-08;137;43
4896155;1123072;2020-11-04;299;12
1115458;318086;2020-11-23;110;33
7077490;2759743;2023-03-02;401;101
9576107;370812;2020-07-17;226;31
9867614;234026;2020-09-30;62;13
8809824;2862251;2024-06-04;182;12
7377059;1193772;2023-08-21;99;12
6590768;1193772;2024-01-31;372;41
4247311;310785;2019-04-29;157;13
2267457;339061;2019-05-07;214;50
9495642;2238842;2023-02-27;189;19
5810091;316406;2021-05-18;142;13
5998568;205502;2024-06-26;71;61
4058069;226018;2021-01-08;225;62
7117138;223262;2021-08-25;119;41
2999511;548842;2023-07-21;476;106
2005685;354197;2019-09-09;162;47
2777612;429642;2020-07-09;143;20
520434;480992;2020-02-14;119;50
2822501;267215;2023-07-20;338;37
5164398;2800502;2023-10-03;14;39
4889302;198402;2024-08-13;136;173
9712053;822652;2020-07-05;157;48
7242639;1789772;2021-06-15;40;102
179332;138862;2022-08-02;88;24
5359967;480042;2020-05-05;146;19
6488195;311643;2024-03-29;296;55
577831;2811338;2023-11-12;179;62
8616503;925292;2024-07-26;183;85
5364831;351789;2019-08-21;227;24
4241096;18120;2022-09-28;158;14
4631726;320753;2020-07-07;193;11
1569422;1656512;2021-04-23;223;40
6532259;576152;2020-04-03;56;19
144920;214202;2021-03-31;136;38
2910772;329416;2021-10-23;265;53
4422118;256546;2020-06-09;273;16
6495095;1673722;2021-04-29;166;60
9180383;1006072;2020-09-20;352;93
4758703;311868;2020-12-20;161;17
602773;1491492;2021-06-08;66;23
1158768;223262;2023-09-27;327;22
512583;351800;2019-09-02;154;12
884975;1149982;2020-11-13;95;47
4379578;223262;2022-12-01;173;25
5209160;318086;2019-04-14;161;17
5374437;1116572;2020-11-02;245;72
9476;717372;2021-10-22;157;68
6296880;309780;2023-05-29;339;106
791074;137994;2023-10-25;190;95
471917;2808506;2023-10-31;237;83
1411306;244510;2022-07-25;290;12
3588463;329416;2021-10-12;115;43
441692;370812;2020-07-17;225;33
3010973;482522;2020-03-27;234;66
8469061;223262;2021-11-29;245;52
3509842;223262;2023-07-11;245;116
9221102;370812;2022-01-18;504;73
4344538;351800;2019-09-02;137;41
7559507;206458;2019-10-30;107;21
5963693;2617582;2022-08-12;244;16
698892;885262;2020-07-28;179;31
5381995;223262;2021-10-25;149;48
6215312;63398;2024-06-27;118;21
8852557;256511;2023-09-14;109;40
2326727;2788066;2023-08-07;64;29
2741946;223262;2023-11-23;229;93
2853881;1163172;2021-08-31;72;30
3731868;340369;2021-08-24;59;11
9762386;318086;2020-11-23;99;15
4693959;885992;2020-07-28;401;39
391465;2765675;2023-04-05;120;39
4433603;1149982;2020-11-13;164;16
3722365;573952;2020-04-02;76;35
9329819;256546;2020-06-09;235;21
3295736;1491492;2021-06-08;109;14
2274049;1203422;2020-11-27;129;12
3485689;326232;2020-06-29;184;19
4098729;2722082;2024-05-17;270;91
5178998;2832300;2024-02-08;223;28
3909175;224062;2024-08-12;121;32
7739896;2862251;2024-06-04;196;17
6824417;350119;2019-08-06;163;35
1240686;209802;2019-05-10;554;52
2364955;340076;2019-05-16;436;108
1156704;2796580;2023-09-13;162;43
9813753;1384612;2021-01-31;140;15
8813944;649402;2020-05-02;53;80
8597413;480042;2020-04-28;132;12
