transaction_id;customer_id;transact_date;revenue
7923875;d7b82da246d7b82fb4-b06b-4124-8304-bffadebda246;2023-03-15;610
2486688;c94147bc02c9414bf8-b93f-4866-8be5-055a20d7bc02;2024-04-03;1159
1176121;92e0ea366f92e0e405-9114-4218-8ffa-c48cbbda366f;2024-04-03;1059
7478501;75ebd4d01b75ebd5f9-c053-4324-936e-404771c4d01b;2023-10-11;707
5108303;687232a9ac68723c8b-f4f3-4fff-9cd9-f97b6f02a9ac;2022-04-06;522
1628402;08c8ae50d908c8af12-b87c-4930-8e48-893709de50d9;2022-10-12;270
6467329;d0813586bfd0813d40-0d0e-4551-8e2c-2e41404586bf;2020-12-02;668
6526845;612677970f6126758b-21e0-490d-968e-312a43c7970f;2024-07-03;1045
5745555;dc4a8d717ddc4a8cc4-3936-4a41-bca6-111b889d717d;2024-07-03;766
4525492;9825c017139825ca3b-8b26-4bff-915d-fe2678101713;2024-01-24;687
446933;c51ff31f0ec51ffffe-043f-48ad-826b-06ad2e031f0e;2020-07-08;1183
5529204;4eb2ae2ca44eb2ad48-73b5-4428-9b7c-172abece2ca4;2020-07-29;492
3464731;035ea9e5bb035ea982-5eb8-4b53-a662-5dc4c7f9e5bb;2021-12-03;362
5904545;ea2fb1d57dea2fbdac-df2f-4ceb-9368-ad891691d57d;2023-10-04;1235
2817993;52a3dd8fde52a3da9f-adfe-40ea-9603-96703ded8fde;2023-10-04;676
5476947;64b618cf6264b6141d-118b-4816-b980-141ed928cf62;2024-02-28;1136
2103549;b7eeb93544b7eebab4-2ff7-49bf-9d52-ec80bb793544;2024-02-28;425
5897524;c78a55bcd6c78a5f78-8885-407a-9db2-de5305e5bcd6;2024-02-28;803
1292692;6f89493cb36f894ba2-91c2-4eae-9ee5-33f198593cb3;2024-03-13;829
9920606;e7ea41f435e7ea45c5-b58f-4d2f-a993-ea384761f435;2022-02-02;624
281452;bf5ffed3afbf5ff97b-e85a-45c9-a3cf-f929f90ed3af;2021-08-04;970
6744354;c78a55bcd6c78a5f78-8885-407a-9db2-de5305e5bcd6;2021-10-20;852
8274426;e58685ac59e58684c2-0a0f-4a1c-87bd-68c1b045ac59;2022-02-16;397
1992853;e58685ac59e58684c2-0a0f-4a1c-87bd-68c1b045ac59;2022-08-24;236
5120023;dc4a8d717ddc4a8cc4-3936-4a41-bca6-111b889d717d;2024-07-10;502
6891963;d65f262128d65f2876-1f2e-4c31-ab12-89ea62562128;2024-07-10;777
4182648;b6643f238db66438e7-240c-4879-a042-8074a2ef238d;2024-04-10;445
653388;035ea9e5bb035ea982-5eb8-4b53-a662-5dc4c7f9e5bb;2024-01-31;545
9183733;b6643f238db66438e7-240c-4879-a042-8074a2ef238d;2024-01-31;1147
4561055;6f89493cb36f894ba2-91c2-4eae-9ee5-33f198593cb3;2024-03-27;1114
772670;b24acdf858b24ac95a-5352-4878-80b8-c2759cddf858;2024-04-18;1007
5463807;b1c0eadd41b1c0e2fd-1018-4289-9468-085b0a6add41;2024-01-10;605
3996981;fac69bf49ffac69b97-9f1c-49a9-a26f-a3a2644bf49f;2024-08-07;1327
1769016;8dcb2cb2b78dcb28e5-ce5e-4e37-bff8-9468fcccb2b7;2024-08-07;214
7346343;9825c017139825ca3b-8b26-4bff-915d-fe2678101713;2024-08-07;943
5611093;ba20d27328ba20d8aa-0491-4ea1-87f1-d72b09627328;2024-08-07;320
3231534;ea2fb1d57dea2fbdac-df2f-4ceb-9368-ad891691d57d;2024-05-29;132
755446;7ade3537957ade3c0c-b0d7-4965-ac05-480533953795;2021-04-21;920
2573556;c1e8c93567c1e8cae2-44d1-4aba-9b95-2cf5f6293567;2023-05-17;613
4692352;ac044b1566ac0441f0-38df-42ad-9a6a-68232a5b1566;2024-05-01;248
6532590;c2e2c4f65cc2e2cf30-7588-4c38-8d32-b5b47194f65c;2021-08-11;1059
2125052;811eca7942811ec86f-acfd-443c-ac4b-f33a1d3a7942;2024-07-17;1108
9372113;d0813586bfd0813d40-0d0e-4551-8e2c-2e41404586bf;2023-10-11;931
6759741;76fcb6ae6d76fcbf74-d2b7-48a6-b480-5af91826ae6d;2024-06-19;629
7824972;861bad2639861ba3de-2fee-4e7d-89d1-c6d5b16d2639;2021-12-22;596
3596174;c94147bc02c9414bf8-b93f-4866-8be5-055a20d7bc02;2024-07-03;348
2834561;85d1af17cf85d1a4eb-5135-4990-986d-3bb68e0f17cf;2024-07-03;591
7509889;fd96df24e6fd96da78-9ec5-45eb-b851-11664cbf24e6;2024-07-03;979
7409630;01e56fc0a901e56eaf-893c-469a-bd94-e1820c9fc0a9;2022-01-19;1045
4111530;d0813586bfd0813d40-0d0e-4551-8e2c-2e41404586bf;2023-07-05;552
7601833;efbb66af3fefbb6253-a738-4f95-9a0f-d5eabf66af3f;2023-07-05;432
4300951;94795e53b494795d16-bb86-4d80-8274-8acf97fe53b4;2024-02-07;648
6627971;d4c80abe47d4c80b2c-3021-4f25-8218-a9a02ffabe47;2024-02-07;328
8083097;d4c80abe47d4c80b2c-3021-4f25-8218-a9a02ffabe47;2023-02-01;281
7869190;035ea9e5bb035ea982-5eb8-4b53-a662-5dc4c7f9e5bb;2022-04-20;976
8548399;efbb66af3fefbb6253-a738-4f95-9a0f-d5eabf66af3f;2023-11-22;989
2195539;75ebd4d01b75ebd5f9-c053-4324-936e-404771c4d01b;2023-10-04;1132
9382594;e58685ac59e58684c2-0a0f-4a1c-87bd-68c1b045ac59;2022-08-17;708
8300410;035ea9e5bb035ea982-5eb8-4b53-a662-5dc4c7f9e5bb;2024-07-31;552
